State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
FLORIDA,JACKSONVILLE,2015,"867,258","2,764",46,226,0,620,"1,872","16,090","3,172","11,840","1,078",41
FLORIDA,JACKSONVILLE,2016,"867,258","2,758",52,251,0,703,"1,752","15,340","2,758","11,160","1,422",45
FLORIDA,LAKELAND,2015,"103,498",246,3,37,0,59,147,"2,368",371,"1,846",151,3
FLORIDA,LAKELAND,2016,"103,498",168,1,36,0,55,76,"2,585",321,"2,088",176,1
FLORIDA,MIAMI,2015,"437,969","2,226",42,33,0,829,"1,322","9,604","1,568","6,885","1,151",44
FLORIDA,MIAMI,2016,"437,969","1,953",27,44,0,671,"1,211","9,473","1,282","7,305",886,28
FLORIDA,MIAMI GARDENS,2015,"113,469",351,12,8,0,112,219,"2,001",390,"1,433",178,12
FLORIDA,MIAMI GARDENS,2016,"113,469",376,11,7,0,135,223,"1,820",297,"1,316",207,12
FLORIDA,MIRAMAR,2015,"138,330",225,3,21,0,65,136,"1,357",194,"1,051",112,6
FLORIDA,MIRAMAR,2016,"138,330",233,2,12,0,63,156,"1,480",164,"1,183",133,4
FLORIDA,ORLANDO7,2015,"268,438","1,277",9,94,0,270,904,"7,874","1,588","5,753",533,25
FLORIDA,ORLANDO7,2016,"268,438","1,194",65,85,0,240,804,"7,600","1,421","5,609",570,11
FLORIDA,PALM BAY,2015,"106,469",251,5,27,0,31,188,949,222,667,60,7
FLORIDA,PALM BAY,2016,"106,469",251,2,30,0,25,194,783,192,536,55,5
FLORIDA,PEMBROKE PINES,2015,"167,266",166,0,11,0,39,116,"1,831",291,"1,428",112,5
FLORIDA,PEMBROKE PINES,2016,"167,266",187,1,9,0,51,126,"1,823",152,"1,548",123,1
FLORIDA,POMPANO BEACH,2015,"107,656",484,2,39,0,121,322,"2,176",356,"1,616",204,7
FLORIDA,POMPANO BEACH,2016,"107,656",458,3,44,0,160,251,"2,586",413,"1,888",285,2
FLORIDA,PORT ST. LUCIE,2015,"176,364",124,2,4,0,13,105,"1,164",204,924,36,1
FLORIDA,PORT ST. LUCIE,2016,"176,364",139,2,8,0,27,102,"1,167",204,925,38,3
FLORIDA,ST. PETERSBURG,2015,"255,821",979,5,67,0,266,641,"7,156","1,127","5,263",766,23
FLORIDA,ST. PETERSBURG,2016,"255,821",854,11,59,0,258,526,"5,642",932,"4,272",438,22
FLORIDA,TALLAHASSEE,2015,"189,709",990,8,119,0,166,697,"4,443",960,"3,110",373,3
FLORIDA,TALLAHASSEE,2016,"189,709",857,4,104,0,200,549,"5,346","1,036","3,777",533,3
