,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson
268,ILLINOIS,ROCKFORD,2017,146770,1147,9,60,210,868,2438,647,1593,198,20
269,ILLINOIS,ROCKFORD,2018,146770,976,9,59,151,757,2575,605,1761,209,29
270,ILLINOIS,SPRINGFIELD,2017,115568,614,5,44,118,447,2438,558,1731,149,25
271,ILLINOIS,SPRINGFIELD,2018,115568,487,7,34,86,360,2494,584,1823,87,9
272,INDIANA,EVANSVILLE,2017,119371,453,6,30,87,330,2905,423,2276,206,16
273,INDIANA,EVANSVILLE,2018,119371,323,7,41,78,197,2591,377,1969,245,14
274,INDIANA,FORT WAYNE,2017,266259,463,13,57,151,242,4191,611,3343,237,40
275,INDIANA,FORT WAYNE,2018,266259,508,22,71,149,266,3342,488,2585,269,17
276,INDIANA,INDIANAPOLIS,2017,870788,5903,58,315,1741,3789,18331,4254,11630,2447,100
277,INDIANA,INDIANAPOLIS,2018,870788,5402,73,341,1436,3552,17350,3512,11395,2443,100
278,INDIANA,SOUTH BEND,2017,101857,468,9,47,163,249,2492,629,1630,233,24
279,INDIANA,SOUTH BEND,2018,101857,465,5,34,139,287,1844,422,1265,157,17
280,IOWA,CEDAR RAPIDS,2017,131878,185,0,19,46,120,2259,424,1693,142,8
281,IOWA,CEDAR RAPIDS,2018,131878,149,3,13,44,89,2183,390,1644,149,8
282,IOWA,DAVENPORT,2017,103063,385,7,51,97,230,2506,479,1753,274,13
283,IOWA,DAVENPORT,2018,103063,314,6,44,68,196,2327,494,1578,255,7
284,KANSAS,OLATHE,2017,137070,129,1,44,18,66,931,74,792,65,2
285,KANSAS,OLATHE,2018,137070,153,2,45,12,94,996,65,852,79,6
286,KANSAS,OVERLAND PARK,2017,191566,199,3,50,32,114,1475,160,1185,130,2
287,KANSAS,OVERLAND PARK,2018,191566,205,2,65,37,101,1778,168,1440,170,10
288,KANSAS,TOPEKA,2017,126624,371,15,25,112,219,3124,467,2280,377,5
289,KANSAS,TOPEKA,2018,126624,328,8,29,93,198,3119,431,2359,329,3
290,KANSAS,WICHITA,2017,391084,1909,18,210,310,1371,10810,1616,8010,1184,41
291,KANSAS,WICHITA,2018,391084,2251,24,179,245,1803,9424,1552,6541,1331,69
292,KENTUCKY,LEXINGTON,2017,322332,553,9,100,281,163,5950,1119,4202,629,22
