,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
173,NEW MEXICO,LAS CRUCES,2015,102227,124.0,2.0,15.0,33.0,74.0,2434.0,358.0,1957.0,119.0,3.0,5119.0
174,NEW YORK,AMHERST TOWN,2015,120207,55.0,0.0,7.0,19.0,29.0,811.0,81.0,707.0,23.0,6.0,1738.0
175,NEW YORK,BUFFALO,2015,258096,1291.0,12.0,81.0,457.0,741.0,4904.0,1040.0,3379.0,485.0,70.0,12460.0
176,NEW YORK,NEW YORK,2015,8550861,23225.0,164.0,1081.0,7599.0,14381.0,60298.0,6410.0,50526.0,3362.0,0.0,167046.0
177,NEW YORK,ROCHESTER,2015,209922,852.0,19.0,65.0,287.0,481.0,3576.0,696.0,2503.0,377.0,44.0,8900.0
178,NEW YORK,SYRACUSE,2015,144027,530.0,10.0,34.0,191.0,295.0,2361.0,530.0,1690.0,141.0,19.0,5801.0
179,NEW YORK,YONKERS,2015,201753,447.0,3.0,23.0,161.0,260.0,960.0,194.0,625.0,141.0,6.0,2820.0
180,NORTH CAROLINA,CARY,2015,160291,31.0,2.0,4.0,9.0,16.0,919.0,169.0,718.0,32.0,2.0,1902.0
181,NORTH CAROLINA,FAYETTEVILLE,2015,204731,453.0,13.0,26.0,162.0,252.0,3907.0,871.0,2870.0,166.0,21.0,8741.0
182,NORTH CAROLINA,GREENSBORO,2015,285950,739.0,11.0,35.0,217.0,476.0,4812.0,1068.0,3505.0,239.0,52.0,11154.0
183,NORTH CAROLINA,HIGH POINT,2015,109669,309.0,2.0,18.0,99.0,190.0,1683.0,333.0,1230.0,120.0,6.0,3990.0
184,NORTH CAROLINA,WILMINGTON,2015,115434,389.0,4.0,29.0,127.0,229.0,2441.0,627.0,1655.0,159.0,4.0,5664.0
185,NORTH DAKOTA,FARGO,2015,118490,177.0,3.0,29.0,21.0,124.0,1545.0,321.0,1107.0,117.0,4.0,3448.0
186,OHIO,AKRON,2015,197587,615.0,12.0,86.0,203.0,314.0,3967.0,1147.0,2518.0,302.0,38.0,9202.0
187,OHIO,CINCINNATI,2015,298478,1340.0,38.0,129.0,607.0,566.0,7793.0,2006.0,5275.0,512.0,223.0,18489.0
188,OHIO,COLUMBUS,2015,847745,2338.0,39.0,409.0,1100.0,790.0,15851.0,3403.0,10908.0,1540.0,174.0,36552.0
